Question,truepositive,falsepositive,falsenegative,recall,precision,f1,accuracy
Which programming languages were influenced by Perl?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In which city was the former Dutch queen Juliana buried?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Which other weapons did the designer of the Uzi develop?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Which bridges cross the Seine?,0.0,10000.0,32.0,0.0,0.0,0.0,0.0
Which actor played Chewbacca?,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.5
Who composed the music for Harold and Maude?,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Who is starring in Spanish movies produced by Benicio del Toro?,0.0,10000.0,1.0,0.0,0.0,0.0,0.0
Who discovered Pluto?,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.5
Who is the governor of Wyoming?,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Which beer originated in Ireland?,0.0,10000.0,1.0,0.0,0.0,0.0,0.0
What are the five boroughs of New York?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Give me all the TV shows with Neil Patrick Harris.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Where in France is sparkling wine produced?,1.0,1844.0,0.0,5.420054200542005E-4,1.0,0.0010834236186348862,5.420054200542005E-4
average ,0.0,0.0,0.0,0.0,0.0,0.15994690614364368,0.15515927923874875
overall ,-,-,-,-,-,-,0.13970588235294118
